date,raw_vix,raw_rsi,raw_fng,raw_aaii,raw_naaim,v1,v2,fwd_5d,fwd_10d,fwd_21d,fwd_63d,fwd_126d,fwd_252d
2011-01-07,17.14,68.163,63.0,37.63,78.514,16.88,25.348,0.017,0.015,0.042,0.045,0.038,0.007
2011-01-14,15.46,76.403,60.0,28.9,76.881,17.87,23.452,-0.002,-0.006,0.027,0.02,0.009,0.0
2011-01-21,18.47,60.379,47.0,21.65,70.829,30.454,34.094,-0.005,0.021,0.025,0.042,0.048,0.025
2011-01-28,20.04,52.214,43.0,7.75,76.176,38.863,40.375,0.027,0.041,0.023,0.068,0.012,0.029
2011-02-04,15.93,67.433,49.0,24.67,82.125,21.698,25.296,0.014,0.025,0.008,0.022,-0.085,0.026
2011-02-11,15.69,73.576,56.0,22.49,86.278,18.558,22.683,0.01,-0.001,-0.036,0.006,-0.113,0.017
2011-02-18,16.43,75.835,56.0,21.01,83.732,19.965,24.018,-0.012,-0.024,-0.037,-0.007,-0.163,0.014
2011-02-25,19.22,57.397,42.0,0.49,68.125,39.311,38.619,0.001,-0.012,-0.007,0.004,-0.122,0.036
2011-03-04,19.06,55.41,39.0,3.63,70.917,39.447,39.122,-0.013,-0.032,0.009,-0.016,-0.088,0.033
2011-03-11,20.08,49.112,26.0,3.65,75.342,45.034,44.052,-0.019,0.007,0.015,-0.026,-0.115,0.051
2011-03-18,24.44,45.199,9.0,-11.63,41.0,64.194,64.999,0.027,0.042,0.02,-0.006,-0.049,0.102
2011-03-25,17.91,56.747,19.0,2.77,50.833,46.189,43.553,0.014,0.011,0.025,-0.035,-0.135,0.078
2011-04-01,17.4,62.638,27.0,10.74,70.919,35.269,34.241,-0.003,-0.01,0.018,0.005,-0.151,0.065
2011-04-08,17.87,58.259,37.0,14.74,80.788,32.821,34.198,-0.006,0.005,0.022,-0.007,-0.13,0.023
2011-04-15,15.32,56.593,28.0,11.26,80.634,34.533,33.335,0.012,0.031,0.007,-0.011,-0.072,0.054
2011-04-22,14.69,62.201,30.0,1.17,82.952,32.938,29.675,0.02,0.002,-0.015,0.006,-0.091,0.022
2011-04-29,14.75,69.187,41.0,7.25,81.9,25.978,24.855,-0.017,-0.019,-0.014,-0.052,-0.058,0.025
2011-05-06,18.4,55.173,27.0,3.59,76.129,40.461,38.784,-0.002,-0.005,-0.041,-0.105,-0.059,0.022
2011-05-13,17.07,53.782,32.0,-4.73,74.659,41.581,39.61,-0.003,-0.005,-0.037,-0.119,-0.073,0.0
2011-05-20,17.43,51.82,22.0,-14.6,68.41,48.537,46.904,-0.002,-0.035,-0.028,-0.157,-0.088,-0.013
2011-05-27,15.98,52.32,16.0,-15.81,58.93,50.649,48.656,-0.034,-0.045,-0.026,-0.116,-0.13,0.001
2011-06-03,17.95,38.226,9.0,-3.25,52.857,58.578,56.63,-0.022,-0.022,0.029,-0.074,-0.043,-0.017
2011-06-10,18.86,32.576,5.0,-23.25,42.792,69.866,67.968,0.0,-0.002,0.034,-0.092,-0.029,0.03
2011-06-17,21.85,38.24,7.0,-13.75,25.952,69.763,69.058,-0.002,0.054,0.043,-0.044,-0.044,0.058
2011-06-24,21.1,41.933,11.0,1.72,29.275,62.049,60.72,0.056,0.04,0.05,-0.104,-0.011,0.036
2011-07-01,15.87,64.388,34.0,8.12,31.976,40.345,37.724,-0.015,-0.026,-0.064,-0.155,-0.061,0.019
2011-07-08,15.95,61.889,43.0,17.09,50.387,33.927,34.626,-0.021,0.001,-0.167,-0.133,-0.049,0.006
2011-07-15,19.53,48.859,32.0,10.06,53.933,46.248,46.279,0.022,-0.018,-0.085,-0.085,-0.021,0.028
2011-07-22,17.52,56.905,51.0,9.25,66.308,34.716,35.991,-0.039,-0.108,-0.164,-0.096,-0.022,0.004
2011-07-29,25.25,38.644,16.0,6.42,62.695,57.798,59.762,-0.072,-0.088,-0.064,-0.006,0.016,0.072
2011-08-05,32.0,22.098,5.0,-22.69,32.872,82.384,85.555,-0.017,-0.063,-0.028,0.052,0.121,0.162
2011-08-12,36.36,37.78,6.0,-11.35,21.405,80.867,85.327,-0.047,-0.002,-0.005,0.052,0.147,0.191
2011-08-19,43.05,32.482,6.0,-4.26,28.778,82.868,88.492,0.047,0.045,0.07,0.082,0.212,0.262
2011-08-26,35.59,44.334,12.0,-4.52,20.171,74.379,78.405,-0.002,-0.012,-0.001,-0.015,0.166,0.199
2011-09-02,33.92,44.524,26.0,6.28,22.19,67.187,70.672,-0.01,0.026,-0.043,0.06,0.144,0.197
2011-09-09,38.52,42.923,25.0,-10.07,25.311,74.936,79.922,0.054,-0.015,0.035,0.069,0.188,0.238
2011-09-16,30.98,54.171,38.0,-10.85,26.778,61.228,64.435,-0.065,-0.07,-0.012,-0.0,0.159,0.202
2011-09-23,41.25,38.994,28.0,-22.67,27.904,79.99,86.247,-0.004,0.017,0.104,0.103,0.246,0.282
